stop_id,stop_lat,stop_lon,hour,trip_count
16,33.795482,-118.20998999999999,hr_5,1
16,33.795482,-118.20998999999999,hr_6,1
16,33.795482,-118.20998999999999,hr_7,2
16,33.795482,-118.20998999999999,hr_8,2
16,33.795482,-118.20998999999999,hr_9,2
17,33.797214000000004,-118.209938,hr_10,2
17,33.797214000000004,-118.209938,hr_11,2
17,33.797214000000004,-118.209938,hr_12,2
17,33.797214000000004,-118.209938,hr_13,2
17,33.797214000000004,-118.209938,hr_14,2
17,33.797214000000004,-118.209938,hr_15,2
17,33.797214000000004,-118.209938,hr_16,2
17,33.797214000000004,-118.209938,hr_17,2
17,33.797214000000004,-118.209938,hr_18,2
17,33.797214000000004,-118.209938,hr_19,1
17,33.797214000000004,-118.209938,hr_20,1
17,33.797214000000004,-118.209938,hr_21,1
17,33.797214000000004,-118.209938,hr_5,1
17,33.797214000000004,-118.209938,hr_6,1
17,33.797214000000004,-118.209938,hr_7,2
17,33.797214000000004,-118.209938,hr_8,2
17,33.797214000000004,-118.209938,hr_9,2
18,33.799077000000004,-118.209989,hr_10,2
18,33.799077000000004,-118.209989,hr_11,2
18,33.799077000000004,-118.209989,hr_12,2
18,33.799077000000004,-118.209989,hr_13,2
18,33.799077000000004,-118.209989,hr_14,2
18,33.799077000000004,-118.209989,hr_15,2
18,33.799077000000004,-118.209989,hr_16,2
18,33.799077000000004,-118.209989,hr_17,2
18,33.799077000000004,-118.209989,hr_18,2
18,33.799077000000004,-118.209989,hr_19,1
18,33.799077000000004,-118.209989,hr_20,1
18,33.799077000000004,-118.209989,hr_21,1
18,33.799077000000004,-118.209989,hr_5,1
18,33.799077000000004,-118.209989,hr_6,1
18,33.799077000000004,-118.209989,hr_7,2
18,33.799077000000004,-118.209989,hr_8,2
18,33.799077000000004,-118.209989,hr_9,2
19,33.800841,-118.20993100000001,hr_10,2
19,33.800841,-118.20993100000001,hr_11,2
19,33.800841,-118.20993100000001,hr_12,2
19,33.800841,-118.20993100000001,hr_13,2
19,33.800841,-118.20993100000001,hr_14,2
19,33.800841,-118.20993100000001,hr_15,2
19,33.800841,-118.20993100000001,hr_16,2
19,33.800841,-118.20993100000001,hr_17,2
19,33.800841,-118.20993100000001,hr_18,2
19,33.800841,-118.20993100000001,hr_19,1
19,33.800841,-118.20993100000001,hr_20,1
19,33.800841,-118.20993100000001,hr_21,1
19,33.800841,-118.20993100000001,hr_5,1
19,33.800841,-118.20993100000001,hr_6,1
19,33.800841,-118.20993100000001,hr_7,2
19,33.800841,-118.20993100000001,hr_8,2
19,33.800841,-118.20993100000001,hr_9,2
20,33.802671000000004,-118.20993500000002,hr_10,2
20,33.802671000000004,-118.20993500000002,hr_11,2
20,33.802671000000004,-118.20993500000002,hr_12,2
20,33.802671000000004,-118.20993500000002,hr_13,2
20,33.802671000000004,-118.20993500000002,hr_14,2
20,33.802671000000004,-118.20993500000002,hr_15,2
20,33.802671000000004,-118.20993500000002,hr_16,2
20,33.802671000000004,-118.20993500000002,hr_17,2
20,33.802671000000004,-118.20993500000002,hr_18,2
20,33.802671000000004,-118.20993500000002,hr_19,1
20,33.802671000000004,-118.20993500000002,hr_20,1
20,33.802671000000004,-118.20993500000002,hr_21,1
20,33.802671000000004,-118.20993500000002,hr_5,1
20,33.802671000000004,-118.20993500000002,hr_6,1
20,33.802671000000004,-118.20993500000002,hr_7,2
20,33.802671000000004,-118.20993500000002,hr_8,2
20,33.802671000000004,-118.20993500000002,hr_9,2
21,33.804652000000004,-118.209973,hr_10,2
21,33.804652000000004,-118.209973,hr_11,2
21,33.804652000000004,-118.209973,hr_12,2
21,33.804652000000004,-118.209973,hr_13,2
21,33.804652000000004,-118.209973,hr_14,2
21,33.804652000000004,-118.209973,hr_15,2
21,33.804652000000004,-118.209973,hr_16,2
21,33.804652000000004,-118.209973,hr_17,2
21,33.804652000000004,-118.209973,hr_18,2
21,33.804652000000004,-118.209973,hr_19,1
21,33.804652000000004,-118.209973,hr_20,1
21,33.804652000000004,-118.209973,hr_21,1
21,33.804652000000004,-118.209973,hr_5,1
21,33.804652000000004,-118.209973,hr_6,1
21,33.804652000000004,-118.209973,hr_7,2
21,33.804652000000004,-118.209973,hr_8,2
21,33.804652000000004,-118.209973,hr_9,2
22,33.806290000000004,-118.20993500000002,hr_10,2
22,33.806290000000004,-118.20993500000002,hr_11,2
22,33.806290000000004,-118.20993500000002,hr_12,2
22,33.806290000000004,-118.20993500000002,hr_13,2
22,33.806290000000004,-118.20993500000002,hr_14,2
22,33.806290000000004,-118.20993500000002,hr_15,2
22,33.806290000000004,-118.20993500000002,hr_16,2
22,33.806290000000004,-118.20993500000002,hr_17,2
22,33.806290000000004,-118.20993500000002,hr_18,2
22,33.806290000000004,-118.20993500000002,hr_19,1
22,33.806290000000004,-118.20993500000002,hr_20,1
22,33.806290000000004,-118.20993500000002,hr_21,1
22,33.806290000000004,-118.20993500000002,hr_5,1
22,33.806290000000004,-118.20993500000002,hr_6,1
22,33.806290000000004,-118.20993500000002,hr_7,2
22,33.806290000000004,-118.20993500000002,hr_8,2
22,33.806290000000004,-118.20993500000002,hr_9,2
23,33.808111,-118.209933,hr_10,2
23,33.808111,-118.209933,hr_11,2
23,33.808111,-118.209933,hr_12,2
23,33.808111,-118.209933,hr_13,2
23,33.808111,-118.209933,hr_14,2
23,33.808111,-118.209933,hr_15,2
23,33.808111,-118.209933,hr_16,2
23,33.808111,-118.209933,hr_17,2
23,33.808111,-118.209933,hr_18,2
23,33.808111,-118.209933,hr_19,1
