route_id,hour,trip_count
91,hr_14,11
91,hr_15,11
91,hr_16,10
91,hr_17,8
91,hr_18,6
91,hr_19,4
91,hr_20,4
91,hr_21,3
91,hr_22,1
91,hr_5,4
91,hr_6,8
91,hr_7,8
91,hr_8,9
91,hr_9,9
92,hr_10,10
92,hr_11,10
92,hr_12,10
92,hr_13,11
92,hr_14,11
92,hr_15,10
92,hr_16,10
92,hr_17,9
92,hr_18,7
92,hr_19,5
92,hr_20,3
92,hr_21,2
92,hr_22,1
92,hr_5,3
92,hr_6,8
92,hr_7,10
92,hr_8,10
92,hr_9,9
93,hr_10,10
93,hr_11,9
93,hr_12,9
93,hr_13,9
93,hr_14,10
93,hr_15,10
93,hr_16,12
93,hr_17,11
93,hr_18,9
93,hr_19,8
93,hr_20,7
93,hr_21,6
93,hr_22,4
93,hr_23,1
93,hr_5,2
93,hr_6,6
93,hr_7,9
93,hr_8,11
93,hr_9,11
94,hr_22,2
94,hr_23,5
94,hr_24,5
94,hr_25,2
94,hr_4,4
94,hr_5,3
